OPCS_CODE,TREATMENT_TYPE
M104,Surgery
M181,Surgery
M182,Surgery
M183,Surgery
M252,Surgery
M291,Surgery
M34X,Surgery
M341,Surgery
M342,Surgery
M343,Surgery
M344,Surgery
M348,Surgery
M349,Surgery
M359,Surgery
M42X,Surgery
M421,Surgery
M422,Surgery
M423,Surgery
M428,Surgery
M429,Surgery
M611,Surgery
M614,Surgery
M618,Surgery
M619,Surgery
N011,Surgery
N012,Surgery
N036,Surgery
N051,Surgery
N052,Surgery
N053,Surgery
N061,Surgery
N063,Surgery
N066,Surgery
N068,Surgery
N069,Surgery
N07X,Surgery
N071,Surgery
N072,Surgery
N078,Surgery
N079,Surgery
N201,Surgery
N241,Surgery
N243,Surgery
N26X,Surgery
N261,Surgery
N262,Surgery
N268,Surgery
N269,Surgery
N271,Surgery
N287,Surgery
N303,Surgery
P011,Surgery
P031,Surgery
P033,Surgery
P051,Surgery
P052,Surgery
P054,Surgery
P058,Surgery
P059,Surgery
P065,Surgery
P071,Surgery
P078,Surgery
P079,Surgery
P111,Surgery
P137,Surgery
P151,Surgery
P152,Surgery
P171,Surgery
P172,Surgery
P178,Surgery
P179,Surgery
P201,Surgery
Q011,Surgery
Q013,Surgery
Q018,Surgery
Q071,Surgery
Q072,Surgery
Q073,Surgery
Q074,Surgery
Q075,Surgery
Q078,Surgery
Q079,Surgery
Q08X,Surgery
Q081,Surgery
Q082,Surgery
Q083,Surgery
Q088,Surgery
Q089,Surgery
Q093,Surgery
Q161,Surgery
Q22X,Surgery
Q221,Surgery
Q222,Surgery
Q223,Surgery
Q228,Surgery
Q229,Surgery
Q231,Surgery
Q232,Surgery
Q235,Surgery
Q236,Surgery
Q238,Surgery
Q239,Surgery
Q241,Surgery
Q243,Surgery
Q438,Surgery
Q439,Surgery
Q473,Surgery
Q478,Surgery
Q491,Surgery
Q521,Surgery
S018,Surgery
S019,Surgery
S028,Surgery
S029,Surgery
S038,Surgery
S039,Surgery
S04X,Surgery
S041,Surgery
S042,Surgery
S043,Surgery
S048,Surgery
S049,Surgery
S05X,Surgery
S051,Surgery
S052,Surgery
S053,Surgery
S054,Surgery
S055,Surgery
S058,Surgery
S059,Surgery
S063,Surgery
S064,Surgery
S065,Surgery
S066,Surgery
S067,Surgery
S068,Surgery
S069,Surgery
S08X,Surgery
S081,Surgery
S082,Surgery
S083,Surgery
S088,Surgery
S089,Surgery
S143,Surgery
S144,Surgery
S17X,Surgery
S171,Surgery
S172,Surgery
S173,Surgery
S174,Surgery
S175,Surgery
S178,Surgery
S179,Surgery
S18X,Surgery
S181,Surgery
S182,Surgery
S183,Surgery
S184,Surgery
S185,Surgery
S188,Surgery
S189,Surgery
S19X,Surgery
S191,Surgery
S192,Surgery
S198,Surgery
S199,Surgery
S20X,Surgery
S201,Surgery
S202,Surgery
S203,Surgery
S204,Surgery
